Name,Course title,Question,Answer,Get Real,Fill Buckets,Be Intentional,Foster Grit,Drive Growth,Alignment,Accountability,Communication,Leadership,Execution,FUSION Relationship Summary,COR Relationship Summary
scott-gusso,1 - Tools : Sustain - Fill Buckets,What Empties My Bucket?,Testing 4/21,0.25,1.00,0.00,0.25,0.00,0.25,0.50,0.50,0.00,0.50,"Primary: Fill Buckets; Tertiary: Get Real, Foster Grit","Secondary: Accountability, Communication, Execution; Tertiary: Alignment"
scott-gusso,1 - Tools : Sustain - Fill Buckets,What Empties My Bucket? - 2 (under green),Testing 4/21,0.25,1.00,0.00,0.25,0.00,0.25,0.50,0.50,0.00,0.50,"Primary: Fill Buckets; Tertiary: Get Real, Foster Grit","Secondary: Accountability, Communication, Execution; Tertiary: Alignment"
scott-gusso,1 - Tools : Sustain - Fill Buckets,What Empties My Bucket? - 3 (under red),Testing 4/21,0.25,1.00,0.00,0.25,0.00,0.25,0.50,0.50,0.00,0.50,"Primary: Fill Buckets; Tertiary: Get Real, Foster Grit","Secondary: Accountability, Communication, Execution; Tertiary: Alignment"
scott-gusso,1 - Tools : Sustain - Fill Buckets,3 SMART GOALS or strategies to achieve a fuller bucket:,Testing 4/21,0.25,1.00,0.50,0.25,0.00,0.25,0.50,0.50,0.25,0.50,"Primary: Fill Buckets; Secondary: Be Intentional; Tertiary: Get Real, Foster Grit","Secondary: Accountability, Communication, Execution; Tertiary: Alignment, Leadership"
scott-gusso,1 - Tools : Transform - Fill Buckets,What Fills My Bucket?,Testing 4/21,0.25,1.00,0.00,0.25,0.00,0.25,0.50,0.50,0.00,0.50,"Primary: Fill Buckets; Tertiary: Get Real, Foster Grit","Secondary: Accountability, Communication, Execution; Tertiary: Alignment"
scott-gusso,1 - Tools : Transform - Fill Buckets,What Empties My Bucket?,Testing 4/21,0.25,1.00,0.00,0.25,0.00,0.25,0.50,0.50,0.00,0.50,"Primary: Fill Buckets; Tertiary: Get Real, Foster Grit","Secondary: Accountability, Communication, Execution; Tertiary: Alignment"
scott-gusso,1 - Tools : Transform - Fill Buckets,What Empties My Bucket? - 2 (under green),Testing 4/21,0.25,1.00,0.00,0.25,0.00,0.25,0.50,0.50,0.00,0.50,"Primary: Fill Buckets; Tertiary: Get Real, Foster Grit","Secondary: Accountability, Communication, Execution; Tertiary: Alignment"
scott-gusso,1 - Tools : Transform - Fill Buckets,What Empties My Bucket? - 3 (under red),Testing 4/21,0.25,1.00,0.00,0.25,0.00,0.25,0.50,0.50,0.00,0.50,"Primary: Fill Buckets; Tertiary: Get Real, Foster Grit","Secondary: Accountability, Communication, Execution; Tertiary: Alignment"
scott-gusso,1 - Tools : Transform - Fill Buckets,3 SMART GOALS or strategies to achieve a fuller bucket:,Testing 4/21,0.25,1.00,0.50,0.25,0.00,0.25,0.50,0.50,0.25,0.50,"Primary: Fill Buckets; Secondary: Be Intentional; Tertiary: Get Real, Foster Grit","Secondary: Accountability, Communication, Execution; Tertiary: Alignment, Leadership"
scott-gusso,1 - Course - Topic : Emotional Intelligence (1),"Reflect on an example of when you were self-aware of your feelings and emotions as they were emerging, in real time?",Testing 7/23,1.00,0.00,0.50,0.00,0.25,0.25,0.25,0.50,0.50,0.25,Primary: Get Real; Secondary: Be Intentional; Tertiary: Drive Growth,"Secondary: Communication, Leadership; Tertiary: Alignment, Accountability, Execution"
scott-gusso,1 - Course - Topic : Emotional Intelligence (1),How did you manage your emotions?  Were your responses calm and measured?,Testing 7/23,1.00,0.00,0.25,0.00,0.25,0.25,0.00,0.50,0.50,0.00,"Primary: Get Real; Tertiary: Be Intentional, Drive Growth","Secondary: Communication, Leadership; Tertiary: Alignment"
scott-gusso,1 - Course - Topic : Emotional Intelligence (1),"In that same example, did you seek to understand the emotions of others?",Testing 7/23,1.00,0.00,0.25,0.00,0.25,0.25,0.00,0.50,0.50,0.00,"Primary: Get Real; Tertiary: Be Intentional, Drive Growth","Secondary: Communication, Leadership; Tertiary: Alignment"
scott-gusso,1 - Course - Topic : Emotional Intelligence (1),"What can you do differently, better, or continue doing in the future to help you continue developing your EI?",Testing 7/23,1.00,0.00,0.25,0.00,0.50,0.25,0.00,0.50,0.50,0.25,Primary: Get Real; Secondary: Drive Growth; Tertiary: Be Intentional,"Secondary: Communication, Leadership; Tertiary: Alignment, Execution"
scott-gusso,1 - Course - Topic : Emotional Intelligence (1),Rate your current ability to demonstrate emotional intelligence. 1-5 (5 highest).,4,1.00,0.00,0.25,0.00,0.25,0.25,0.00,0.50,0.50,0.00,"Primary: Get Real; Tertiary: Be Intentional, Drive Growth","Secondary: Communication, Leadership; Tertiary: Alignment"
scott-gusso,1 - Course - Topic : Emotional Intelligence (1),Rate your current ability to foster emotional intelligence within your team. 1-5 (5 highest).,4,1.00,0.00,0.25,0.00,0.25,0.50,0.00,0.50,0.50,0.00,"Primary: Get Real; Tertiary: Be Intentional, Drive Growth","Secondary: Alignment, Communication, Leadership"
scott-gusso,1 - Course - Topic : Emotional Intelligence (1),Review the <a> Solutions-Focused Feedback</a> Approach tool and consider how this strategy can be applied within your team to foster emotional intelligence.,Testing 7/23,1.00,0.00,0.50,0.00,0.25,0.50,0.25,1.00,0.50,0.50,Primary: Get Real; Secondary: Be Intentional; Tertiary: Drive Growth,"Primary: Communication; Secondary: Alignment, Leadership, Execution; Tertiary: Accountability"
scott-gusso,1 - Course - Topic : Leadership vs Management (1),Part 1: Create short lists around the following prompts:,Testing 7/23,0.00,0.00,0.25,0.25,1.00,0.50,0.00,0.00,1.00,0.50,"Primary: Drive Growth; Tertiary: Be Intentional, Foster Grit","Primary: Leadership; Secondary: Alignment, Execution"
scott-gusso,1 - Course - Topic : Leadership vs Management (1),Part 2: Prepare and describe a strategy to implement changes/development specific to your leadership and management weaknesses.,Testing 7/23,0.00,0.00,0.25,0.25,1.00,0.50,0.00,0.00,1.00,0.50,"Primary: Drive Growth; Tertiary: Be Intentional, Foster Grit","Primary: Leadership; Secondary: Alignment, Execution"
scott-gusso,1 - Course - Topic : Leadership vs Management (1),"Do you or members of your team express attitudes or behaviors which focus more on negativity, entitlement, or dissatisfaction? Here are some common opposites of gratitude.",-,0.00,0.00,0.50,0.25,1.00,0.50,0.25,0.50,1.00,1.00,Primary: Drive Growth; Secondary: Be Intentional; Tertiary: Foster Grit,"Primary: Leadership, Execution; Secondary: Alignment, Communication; Tertiary: Accountability"
scott-gusso,1 - Course - Topic : Leadership vs Management (1),Rate your current ability to effectively integrate management with leadership. 1-5 (5 highest),4,0.00,0.00,0.25,0.25,1.00,0.50,0.00,0.00,1.00,0.50,"Primary: Drive Growth; Tertiary: Be Intentional, Foster Grit","Primary: Leadership; Secondary: Alignment, Execution"
scott-gusso,1 - Course - Topic : Leadership vs Management (1),Rate your ability to empower others to advocate for themselves. 1-5 (5 highest),-,0.00,0.00,0.25,0.25,1.00,0.50,0.00,0.00,1.00,0.50,"Primary: Drive Growth; Tertiary: Be Intentional, Foster Grit","Primary: Leadership; Secondary: Alignment, Execution"
scott-gusso,1 - Course - Topic : Leadership vs Management (1),Identify a mentor who you admire for their blend of management and leadership skills. List the reasons youâ€™d want them to be your mentor and/or the specific skills you would like to learn from them. Then set up a time to talk to them about mentorship and your goals.,Testing 7/23,0.00,0.00,0.50,0.25,1.00,0.50,0.25,0.50,1.00,0.50,Primary: Drive Growth; Secondary: Be Intentional; Tertiary: Foster Grit,"Primary: Leadership; Secondary: Alignment, Communication, Execution; Tertiary: Accountability"
scott-gusso,1 - Revitalize - Mental & Emotional Performance,Core values,I have already watched the video,0.50,1.00,0.00,0.25,0.00,1.00,0.50,0.50,0.25,0.50,Primary: Fill Buckets; Secondary: Get Real; Tertiary: Foster Grit,"Primary: Alignment; Secondary: Accountability, Communication, Execution; Tertiary: Leadership"
scott-gusso,1 - Revitalize - Agenda and Introduction to Mattering,"How did the person who had the greatest, positive influence on your life... make such an impact?",-,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.25,1.00,0.00,Tertiary: Get Real,Primary: Leadership; Tertiary: Communication
scott-gusso,1 - Revitalize - Agenda and Introduction to Mattering,"How did he/she/they do it? (reflect on and document charactertics, actions, attidue, values and more)",-,0.50,0.00,0.50,0.00,0.00,1.00,0.25,0.25,0.25,1.00,"Secondary: Get Real, Be Intentional","Primary: Alignment, Execution; Tertiary: Accountability, Communication, Leadership"
scott-gusso,2 - Course - Topic : Be Intentional,Where did you place your sticker?,Testing 7/23,0.25,0.00,1.00,0.00,0.25,0.00,0.25,0.00,0.50,0.50,"Primary: Be Intentional; Tertiary: Get Real, Drive Growth","Secondary: Leadership, Execution; Tertiary: Accountability"
scott-gusso,2 - Course - Topic : Be Intentional,Did it serve as a reminder to you?,Testing 7/23,0.25,0.00,1.00,0.00,0.25,0.00,0.25,0.00,0.50,0.50,"Primary: Be Intentional; Tertiary: Get Real, Drive Growth","Secondary: Leadership, Execution; Tertiary: Accountability"
scott-gusso,2 - Course - Topic : Be Intentional,Was the model/practice beneficial?,Testing 7/23,0.25,0.00,1.00,0.00,0.25,0.00,0.25,0.00,0.50,0.50,"Primary: Be Intentional; Tertiary: Get Real, Drive Growth","Secondary: Leadership, Execution; Tertiary: Accountability"
scott-gusso,2 - Course - Topic : Be Intentional,Create a list of the ways it impacted your life or your decisions to be intentional with your time or response to a situation.,Testing 7/23,0.25,0.00,1.00,0.00,0.25,0.00,0.25,0.00,1.00,0.50,"Primary: Be Intentional; Tertiary: Get Real, Drive Growth",Primary: Leadership; Secondary: Execution; Tertiary: Accountability
scott-gusso,2 - Course - Topic : Be Intentional,Rate your current ability to â€œBe Intentionalâ€ 1-5 (5 highest) in your life..,4,0.25,0.00,1.00,0.00,0.25,0.00,0.25,0.00,0.50,0.50,"Primary: Be Intentional; Tertiary: Get Real, Drive Growth","Secondary: Leadership, Execution; Tertiary: Accountability"
scott-gusso,2 - Course - Topic : Be Intentional,(Team Challenge)  Facilitate a discussion about the impact of the â€œPause. Reflect. Play.â€ model within your team. Share a story when it was particularly impactful and ask your colleagues to share their experiences. (Optional),Testing 7/23,0.50,0.00,1.00,0.50,0.25,0.50,0.25,0.25,0.50,0.50,"Primary: Be Intentional; Secondary: Get Real, Foster Grit; Tertiary: Drive Growth","Secondary: Alignment, Leadership, Execution; Tertiary: Accountability, Communication"
scott-gusso,2 - Course - Topic : Be Intentional Transform,Where did you place your sticker?,be-intentional-transform,0.25,0.00,1.00,0.00,0.25,0.00,0.25,0.00,0.50,0.50,"Primary: Be Intentional; Tertiary: Get Real, Drive Growth","Secondary: Leadership, Execution; Tertiary: Accountability"
scott-gusso,2 - Course - Topic : Be Intentional Transform,Did it serve as a reminder to you?,be-intentional-transform,0.25,0.00,1.00,0.00,0.25,0.00,0.25,0.00,0.50,0.50,"Primary: Be Intentional; Tertiary: Get Real, Drive Growth","Secondary: Leadership, Execution; Tertiary: Accountability"
scott-gusso,2 - Course - Topic : Be Intentional Transform,Was the model/practice beneficial?,be-intentional-transform,0.25,0.00,1.00,0.00,0.25,0.00,0.25,0.00,0.50,0.50,"Primary: Be Intentional; Tertiary: Get Real, Drive Growth","Secondary: Leadership, Execution; Tertiary: Accountability"
scott-gusso,2 - Course - Topic : Be Intentional Transform,Create a list of the ways it impacted your life or your decisions to be intentional with your time or response to a situation.,be-intentional-transform,0.25,0.00,1.00,0.00,0.25,0.00,0.25,0.00,1.00,0.50,"Primary: Be Intentional; Tertiary: Get Real, Drive Growth",Primary: Leadership; Secondary: Execution; Tertiary: Accountability
scott-gusso,2 - Course - Topic : Be Intentional Transform,Rate your current ability to â€œBe Intentionalâ€ 1-5 (5 highest) in your life..,5,0.25,0.00,1.00,0.00,0.25,0.00,0.25,0.00,0.50,0.50,"Primary: Be Intentional; Tertiary: Get Real, Drive Growth","Secondary: Leadership, Execution; Tertiary: Accountability"
scott-gusso,2 - Course - Topic : Be Intentional Transform,Facilitate a discussion about the impact of the â€œPause. Reflect. Play.â€ model with a colleague or your supervisor during a 1:1. Share a story when it was particularly impactful and ask others to share their experiences. (Optional),be-intentional-transform,0.50,0.00,1.00,0.00,0.25,0.25,0.25,0.25,0.50,0.50,Primary: Be Intentional; Secondary: Get Real; Tertiary: Drive Growth,"Secondary: Leadership, Execution; Tertiary: Alignment, Accountability, Communication"
scott-gusso,2 - Course - Topic : Advanced Communication Transform,Document the strategies you leverage for communicating with your team or key stakeholders within a given week.,-,0.25,0.00,0.00,0.00,0.00,0.50,0.00,1.00,0.50,0.00,Tertiary: Get Real,"Primary: Communication; Secondary: Alignment, Leadership"
scott-gusso,2 - Course - Topic : Advanced Communication Transform,What is the justification for using each strategy and how frequently do you use it?,-,0.25,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.25,0.00,Tertiary: Get Real,Primary: Communication; Tertiary: Leadership
scott-gusso,2 - Course - Topic : Advanced Communication Transform,Rate your current ability to leverage communication strategies effectively. 1-5 (5 highest).,-,0.00,0.00,0.25,0.25,1.00,0.50,0.00,1.00,0.25,0.50,"Primary: Drive Growth; Tertiary: Be Intentional, Foster Grit","Primary: Communication; Secondary: Alignment, Execution; Tertiary: Leadership"
scott-gusso,2 - Course - Topic : Advanced Communication Transform,Track communications with the Communication Tracker tool for one week to identify opportunities for more effective communication.,-,0.00,0.00,0.00,0.00,0.50,0.25,0.00,1.00,0.25,0.50,Secondary: Drive Growth,"Primary: Communication; Secondary: Execution; Tertiary: Alignment, Leadership"
scott-gusso,2 - Tools : Transform - ABC worksheet,A: What was the Activating Event to the Behavior?,Testing 4/21,0.25,0.00,1.00,0.00,0.25,0.00,0.25,0.00,0.50,0.50,"Primary: Be Intentional; Tertiary: Get Real, Drive Growth","Secondary: Leadership, Execution; Tertiary: Accountability"
scott-gusso,2 - Tools : Transform - ABC worksheet,B: What are your Beliefs about the Event?,Testing 4/21,0.25,0.00,1.00,0.00,0.25,0.00,0.25,0.00,0.50,0.50,"Primary: Be Intentional; Tertiary: Get Real, Drive Growth","Secondary: Leadership, Execution; Tertiary: Accountability"
scott-gusso,2 - Tools : Transform - ABC worksheet,C: What were the Consequences of your Actions or Behaviors?,Testing 4/21,0.25,0.00,1.00,0.00,0.25,0.00,0.25,0.00,0.50,1.00,"Primary: Be Intentional; Tertiary: Get Real, Drive Growth",Primary: Execution; Secondary: Leadership; Tertiary: Accountability
scott-gusso,2 - Tools : Transform - ABC worksheet,D: How can you Dispute or Challenge your Thoughts around the Event?,Testing 4/21,0.25,0.00,1.00,0.50,0.25,0.25,0.25,0.00,0.50,0.50,"Primary: Be Intentional; Secondary: Foster Grit; Tertiary: Get Real, Drive Growth","Secondary: Leadership, Execution; Tertiary: Alignment, Accountability"
scott-gusso,2 - Tools : Transform - ABC worksheet,E: What can you do to Make an Effective Change in Performance or Behavior?,Testing 4/21,0.25,0.00,1.00,0.00,0.50,0.25,0.25,0.00,0.50,0.50,Primary: Be Intentional; Secondary: Drive Growth; Tertiary: Get Real,"Secondary: Leadership, Execution; Tertiary: Alignment, Accountability"
scott-gusso,2 - Course - Topic : Communication Strategies (1),Document the strategies you leverage for communicating with your team within a given week.,Testing 7/23,0.00,0.00,0.25,0.25,1.00,0.50,0.00,1.00,0.50,0.50,"Primary: Drive Growth; Tertiary: Be Intentional, Foster Grit","Primary: Communication; Secondary: Alignment, Leadership, Execution"
scott-gusso,2 - Course - Topic : Communication Strategies (1),What is the justification for using each strategy and how frequently do you use it?,Testing 7/23,0.00,0.00,0.25,0.25,1.00,0.50,0.00,1.00,0.25,0.50,"Primary: Drive Growth; Tertiary: Be Intentional, Foster Grit","Primary: Communication; Secondary: Alignment, Execution; Tertiary: Leadership"
scott-gusso,2 - Course - Topic : Communication Strategies (1),Rate your current ability to leverage communication strategies effectively. 1-5 (5 highest).,4,0.00,0.00,0.25,0.25,1.00,0.50,0.00,1.00,0.25,0.50,"Primary: Drive Growth; Tertiary: Be Intentional, Foster Grit","Primary: Communication; Secondary: Alignment, Execution; Tertiary: Leadership"
scott-gusso,2 - Course - Topic : Communication Strategies (1),Review the <a> Solutions-Focused Feedback</a> Approach tool and consider how this strategy can be applied within your team to foster emotional intelligence.,Testing 7/23,1.00,0.00,0.50,0.25,1.00,0.50,0.25,1.00,0.50,0.50,"Primary: Get Real, Drive Growth; Secondary: Be Intentional; Tertiary: Foster Grit","Primary: Communication; Secondary: Alignment, Leadership, Execution; Tertiary: Accountability"
scott-gusso,2 - Course - Topic : Performance Management (1),Review the personal goals you have set for yourself at your job. Are they performance management based or are they growth and development related?,Testing 7/23,0.00,0.00,0.50,0.25,1.00,0.50,1.00,0.00,1.00,0.50,Primary: Drive Growth; Secondary: Be Intentional; Tertiary: Foster Grit,"Primary: Accountability, Leadership; Secondary: Alignment, Execution"
scott-gusso,2 - Course - Topic : Performance Management (1),"What rules, policies, systems, or support mechanisms does your organization have for the performance management process, if any?",Testing 7/23,0.00,0.50,0.25,0.25,1.00,0.50,1.00,0.25,1.00,1.00,"Primary: Drive Growth; Secondary: Fill Buckets; Tertiary: Be Intentional, Foster Grit","Primary: Accountability, Leadership, Execution; Secondary: Alignment; Tertiary: Communication"
scott-gusso,2 - Course - Topic : Performance Management (1),"Do you or members of your team express attitudes or behaviors which focus more on negativity, entitlement, or dissatisfaction? Here are some common opposites of gratitude.",-,0.00,0.00,0.50,0.25,1.00,0.50,1.00,0.50,1.00,1.00,Primary: Drive Growth; Secondary: Be Intentional; Tertiary: Foster Grit,"Primary: Accountability, Leadership, Execution; Secondary: Alignment, Communication"
scott-gusso,2 - Course - Topic : Performance Management (1),Rate your current ability to effectively manage performance within your team. 1-5 (5 highest),4,0.00,0.00,0.25,0.25,1.00,0.50,1.00,0.00,1.00,0.50,"Primary: Drive Growth; Tertiary: Be Intentional, Foster Grit","Primary: Accountability, Leadership; Secondary: Alignment, Execution"
scott-gusso,2 - Course - Topic : Performance Management (1),Rate your ability to empower others to advocate for themselves. 1-5 (5 highest),-,0.00,0.00,0.25,0.25,1.00,0.50,1.00,0.00,1.00,0.50,"Primary: Drive Growth; Tertiary: Be Intentional, Foster Grit","Primary: Accountability, Leadership; Secondary: Alignment, Execution"
scott-gusso,2 - Course - Topic : Performance Management (1),"Work with your manager or with your direct reports to identify specific opportunities for L&D and Performance. Separate out those goals and then create a plan for regular check-ins about both topics for clarity, direction and growth potential.",Testing 7/23,0.00,0.00,0.50,0.25,1.00,0.50,1.00,0.50,1.00,0.50,Primary: Drive Growth; Secondary: Be Intentional; Tertiary: Foster Grit,"Primary: Accountability, Leadership; Secondary: Alignment, Communication, Execution"
scott-gusso,2 - Revitalize - Revealing My Subconcious Mind,What's occupying your headspace & focus?,Testing 10/13,0.00,0.00,0.50,0.00,0.00,0.00,0.25,0.00,0.25,0.25,Secondary: Be Intentional,"Tertiary: Accountability, Leadership, Execution"
scott-gusso,2 - Revitalize - Revealing My Subconcious Mind,Where's the noise? What's stealing your attention or holding you back?,Testing 10/13,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.00,Tertiary: Get Real,"Tertiary: Communication, Leadership"
scott-gusso,2 - Revitalize - Revealing My Subconcious Mind,What are the mental blocks or pressure points?,Testing 10/13,0.00,0.00,0.00,0.50,0.00,0.25,0.25,0.00,0.00,0.25,Secondary: Foster Grit,"Tertiary: Alignment, Accountability, Execution"
scott-gusso,2 - Revitalize - Introduction to Social Connection,What does social connection or connectedness mean to you?,-,0.25,1.00,0.00,0.25,0.00,0.50,0.50,0.50,0.00,0.00,"Primary: Fill Buckets; Tertiary: Get Real, Foster Grit","Secondary: Alignment, Accountability, Communication"
scott-gusso,2 - Revitalize - Introduction to Social Connection,How would you define or describe it?,-,0.25,1.00,0.00,0.25,0.00,0.50,0.50,0.50,0.00,0.00,"Primary: Fill Buckets; Tertiary: Get Real, Foster Grit","Secondary: Alignment, Accountability, Communication"
scott-gusso,2 - Revitalize - Introduction to Social Connection,How does it help or benefit you?,-,0.25,1.00,0.00,0.25,0.00,0.50,0.50,0.50,0.00,0.00,"Primary: Fill Buckets; Tertiary: Get Real, Foster Grit","Secondary: Alignment, Accountability, Communication"
scott-gusso,3 - LMS Page 16,What Fills My Bucket?,sdfsdfsd,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.00,Tertiary: Get Real,"Tertiary: Communication, Leadership"
scott-gusso,3 - LMS Page 16,What Empties My Bucket?,sdfsdfsdf,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.00,Tertiary: Get Real,"Tertiary: Communication, Leadership"
scott-gusso,3 - LMS Page 16,What Empties My Bucket? - 2 (under green),sdfsf,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.00,Tertiary: Get Real,"Tertiary: Communication, Leadership"
scott-gusso,3 - LMS Page 16,What Empties My Bucket? - 3 (under red),fsdfsdf,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.00,Tertiary: Get Real,"Tertiary: Communication, Leadership"
scott-gusso,3 - LMS Page 16,3 SMART GOALS or strategies to achieve a fuller bucket:,sdfsdfsdfs,0.00,0.00,0.50,0.00,0.00,0.00,0.25,0.00,0.25,0.25,Secondary: Be Intentional,"Tertiary: Accountability, Leadership, Execution"
scott-gusso,3 - Course - Topic : Fill Buckets,Do those things still resonate or hold true with you today?,Testing 4/3,0.25,1.00,0.00,0.25,0.00,0.25,0.50,0.50,0.00,0.00,"Primary: Fill Buckets; Tertiary: Get Real, Foster Grit","Secondary: Accountability, Communication; Tertiary: Alignment"
